subject,Best Free Courses,Number of Reviews
Business Finance,"['Accounting in 60 Minutes - A Brief Introduction', 'Stock Market Investing for Beginners', 'Introduction to Financial Modeling']",4397
Business Finance,"['Accounting in 60 Minutes - A Brief Introduction', 'Stock Market Investing for Beginners', 'Introduction to Financial Modeling']",2698
Business Finance,"['Accounting in 60 Minutes - A Brief Introduction', 'Stock Market Investing for Beginners', 'Introduction to Financial Modeling']",1463
Graphic Design,"['Graphic Design - An Overview of the Field', ""Photoshop In-Depth: Master all of Photoshop's Tools Easily"", 'Professional Logo Design in Adobe Illustrator']",2215
Graphic Design,"['Graphic Design - An Overview of the Field', ""Photoshop In-Depth: Master all of Photoshop's Tools Easily"", 'Professional Logo Design in Adobe Illustrator']",1779
Graphic Design,"['Graphic Design - An Overview of the Field', ""Photoshop In-Depth: Master all of Photoshop's Tools Easily"", 'Professional Logo Design in Adobe Illustrator']",1563
Musical Instruments,"['Getting Started with Playing Guitar', 'Free Beginner Electric Guitar Lessons', 'Introduction to Piano - By PGN Piano!']",1141
Musical Instruments,"['Getting Started with Playing Guitar', 'Free Beginner Electric Guitar Lessons', 'Introduction to Piano - By PGN Piano!']",1042
Musical Instruments,"['Getting Started with Playing Guitar', 'Free Beginner Electric Guitar Lessons', 'Introduction to Piano - By PGN Piano!']",772
Web Development,"['Learn HTML5 Programming From Scratch', 'Web Design for Web Developers: Build Beautiful Websites!', 'Build Your First Website in 1 Week with HTML5 and CSS3']",8629
Web Development,"['Learn HTML5 Programming From Scratch', 'Web Design for Web Developers: Build Beautiful Websites!', 'Build Your First Website in 1 Week with HTML5 and CSS3']",6512
Web Development,"['Learn HTML5 Programming From Scratch', 'Web Design for Web Developers: Build Beautiful Websites!', 'Build Your First Website in 1 Week with HTML5 and CSS3']",5924
