course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,subject,level,content_duration,subject
473160,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,False,0,98867,6512,20,Web Development,All Levels,3.0,Web Development
756150,Angular 4 (formerly Angular 2) - The Complete Guide,https://www.udemy.com/the-complete-guide-to-angular-2/,True,190,73783,19649,329,Web Development,All Levels,22.0,Web Development
461160,Learn and Understand NodeJS,https://www.udemy.com/understand-nodejs/,True,195,58208,11123,98,Web Development,All Levels,13.0,Web Development
289230,Learn and Understand AngularJS,https://www.udemy.com/learn-angularjs/,True,175,59361,11580,55,Web Development,All Levels,7.0,Web Development
625204,The Web Developer Bootcamp,https://www.udemy.com/the-web-developer-bootcamp/,True,200,121584,27445,342,Web Development,All Levels,43.0,Web Development
173548,Build Your First Website in 1 Week with HTML5 and CSS3,https://www.udemy.com/build-your-first-website-in-1-week/,False,0,120291,5924,30,Web Development,Beginner Level,3.0,Web Development
364426,JavaScript: Understanding the Weird Parts,https://www.udemy.com/understand-javascript/,True,175,79612,16976,85,Web Development,All Levels,11.5,Web Development
764164,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2/,True,200,114512,22412,304,Web Development,All Levels,30.5,Web Development
41295,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,False,0,268923,8629,45,Web Development,All Levels,10.5,Web Development
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/html-and-css-for-beginners-crash-course-learn-fast-easy/,False,0,70773,5660,50,Web Development,All Levels,6.0,Web Development
705264,Modern React with Redux,https://www.udemy.com/react-redux/,True,180,50815,15117,150,Web Development,All Levels,26.5,Web Development
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,https://www.udemy.com/pianoforall-incredible-new-way-to-learn-piano-keyboard/,True,200,75499,7676,362,Musical Instruments,All Levels,30.0,Musical Instruments
